Apatani,English
ayimapa ba,"to carry (on the back of something, on one's shoulder, on the top of the head, etc"
ayiya,heavier
ayo,grandmother or mother-in-law (term of address)
ayo asi,ancestors
ayo ho,in the night
ayo kente,blanket (for sleeping)
ayo nyachu,upper lip
ayo tape,(Bot
ayo-asi mendu,ritual performed to placate ancestral souls when they are believed to trouble their surviving kinsmen for not having treated them well during their lifetime and request some reparation
ayo-asi’,ancestors; progenitors
ayo-ayo,every night
ayo-nano,a variety of bee (hover bee)
ayo-yolyan,n:time
ayobo,mother-in-law (term of reference)
ayoja,uppermost
ayoya,upper
ayu,traditional chants performed by males in context of verbal competition or antiphonal singing; oral tradition in song form
ayu ho,in olden days
ayumada,(referring to an event in the past) recently
ayádù,interjection of frustration
ayò,night
ayò lwpá,midnight
ayóo,up; upper
ayóo twpè,pumpkin
ayóo zacù,upper lip
ayú,traditional ballad usually sang by the males as competition or simple narration
ayúu,long time back
ayúu mapà,in a short while
azañ,year
aziñ,breast; milk
aziñ ziñpvr,nipple
azè,num.  two (term of reference)
azì,num.  two
azìnw,second
azóo,be subject to a behavioral restriction due to a taboo
aì,heavy
aì,raw; uncooked
aì-haaju’,weight
aíi,blood
aíi hiipiñ,feline jaw used to decorate a machete sheath
añ,an interjection at the end of a sentence to solicit agreement to a statement
aúu,son-in-law (term of address)
ba,vomit; puke; retch
ba-nanii,"carrier; device, tool or mean of transport for carrying something"
baabu’,healthy (esp. of child); pampered
baara,fare; fee
baarañ,interior (esp. location of a house)
baarò,big flat object
baayo’,slow; sluggish
babi,to carry/bring for someone
babi bi,to swing; to dangle
babin,adj
babiñ,"stark; bare, as of a field"
babo,ritual pole on which acrobatics were performed in olden days during Myoko festival
babo rinyo,"element of the *babo structure, a cane framework or rug-sized screen-like banners made of loops of cane (today sometimes replaced by some tissue or synthetic net) which is tied to and hangs from each tip of *akan taper, in a manner that it sways rythmically in strong wind or when acrobatic performers apply a tensile load to the mast "
babo taper,"element of a *babo structure, four elongated planks of 5-6 meters long arranged so as to form a narrow twin-armed platform when iserted into the upper end of the mast"
babu,"plump, as of a child in good health and/or pampered"
babó,ceremonial pole of the Apatanis erected on the eve of the Myoko festivals
bacha,to roll up
bachin,[ba´tɕi] n
baciñ,box myrtle (Myrica esculenta/Myrica nagi)
bade,ceiling rack for storing meat
bafa,slope; slant; downslope
bagan rinyo,rinyo [ba´gã ri´ɲo] n
bagañ rizo,a variety of flower; primrose flower (Primula spp.)
bagii,to carry along with oneself; to bring
bahi,to roll down
bahi-bala,(of personality or behaviour)
bahi-bara,(esp
bahii,to roll; to turn; to move a sphere-like object to another position by rolling it
bahii-bakhe,to roll over; to roll from one place to another
bahuñ,vomiting tendency; retch
bai-bala,haughty; contemptous; disparaging
baji,time
baji’,cook in oil
bajo,price or reward for carrying
baka,to carry as a trial
baka’,dent; depression
bakhe,(of a speech) impolite; rude; ill-mannered; harsh
bakhe-bakhe,rudely; harshly
bakho,"to damage or reduce the value of something by carrying it, e"
bako,to dig a pit or excavation in the earth by extracting soil from the ground
bako’,box
balii,to carry in; to take/bring in something by carrying it
balo,to roll down a sphere-like object
baltiq,bucket
balu,garden
balya,slope
bamban,adj
ban,vsuff
banda kobi,(Bot
banii,carrier (person); one who carries (unspecified)
baniin,[´baʔni] n
banye,(of a disc or disc-like thing) two pieces; two sheets
bapa,to lose
bar,carry something with a horizontal bar or a rod
bar-,disc; disc-like object
bara,fare
barbo,to carry on a horizontal rod/stick along with someone
barbo-fibo,wife’s sister’s husband (term of reference)
barbo-lyibo,term of reference for a man's wife's sister's husband (i
barbu,"fertile, as of a plot of land"
barcha,(of interest in a loan) to rise
barde,cane basket used for distilling rice/millet beer
bardiñ,fate; destiny
