Apatani,English
bare,num.  one (of flat objects)
bare’,"snap or break, as a thread"
barhii-barkhe,to carry around by means of a horizontal pole or rod
bari,(Bot
bari’,get up; stand up
barju,"loosely woven basket used during outings in paddy fields or distant gardens (*yorlu) for carrying vegetables or firewood, catching fish, etc"
barju’,netted cane basket for everyday use
barkho,to sit astraddle or in a straddling position
barkun,[´bar´kũ] n:num
barmii,term of reference for
barmii ari,bride price
barmw,sister
barne,(of round and flat objects) how many
barnyo,(of round and flat objects or geometrical shapes) small
baro,"brother (term of reference, female speaking)"
baro-mazañ,traditional friends (esp. of other community or of far away places)
barr,chant in a loud manner as when performing some traditional Apatani rituals
barro,(of round and flat objects or geometrical shapes) big; large
barsa,(of two or more discs or disc-like objects)
barxo’,straddle; sit straddling a seat; bestride
barzo,small flat object
baró,brother
basii,(Agr
basii-balyi,embankments running alongside a canal or river that are formed by the bunds of adjacent paddy fields
baso,long
basw’,bank (of a river); riverbank; shore
bate,"to carry at, or from some distance"
batiñ,hedge; cattle barricade designed for humans to climb over it
bayo,(esp
bayopa,(esp
bazo,small flat object
bañbañ,heavy or hoarse voice
bañs garw,bus
ba’,carry; transport
ba’so,long
be,fasten or tie
bebo,to jump across
bebu,gun
bebu’,gun
beche,to crack
beda,(by priest) to chant or recite correctly
bede,to tighten something by means of a stick
bede-nanii,"element of the handloom, a weaving tool used to prevent shrinking of woven cloth"
beezì,term of address for two audince; term of reference for two persons
beeñ,"shine, of sun; heat, of fire"
befe,chatter; babble
begya-tagya,curse
beha,"to jump into something, as of a frog or a fish"
behe,bamboo shoot
behii,"to somersault, as when performing acrobatic stunts around the rope of a *babo mast"
behu,to give light; to illuminate
bekho,"to crack, as of wood; to peel"
belii,adjoining house or room
belo,to hatch
belunku,'Ladies and gentlemen'
beluñ,friend; audience (term of reference)
beluñku,friends; audience (term of address)
belye,to chatter; to talk volubly and inconsequentially
bempi,"to dry by exposure to a light source, e"
bemur,(by priest) to chant or recite in the wrong way
ben,vi-r
benga,to shine a lot
benge,heat
bengna,(Bot
benha,to shine in
beniin,[beni] n
benti,to exert pressure on or upon something with the foot or toe
bepa,to kick something off/away
bepa-beya,"to leap/hop here and there, as of a frog or like a frog"
beqna,brinjal (Solanam melongena)
ber,"to jump, in general, whether high or long, but usually implying that the jump intensity is high, by comparison with *lyo"
ber-,piece of cloth
berba,to overlie
berbo,to jump across or over something
berne,(of pieces of clothes) how many
bernii,one who jumps; jumper (unspecified)
berniibo,the one who jumps; jumper (specified)
berniin,[berni] n
bernyo,"small, as of a piece of cloth"
berpo,"to fold a piece of paper, tissue or cloth so that the two sides overlap"
berpya,to unfold; to unwrap; to unfurl; to unroll
berro,(of a piece of cloth) big; big-sized; large-sized
bersa,(of two or more pieces of clothing)
beyuñ,tomato; potato
beñ,vocalize (esp. of animals and birds); chirp; warble; sing
be’,"spring, something under tension; leap (as frogs do)"
be’ce,crack; split; rapture
be’hu,spongy; springy; cushiony; resilient
be’lw,next door neighbor
be’pa’-be’ya’,reckless; impulsive; impetuous
be’ri,decorative border; edge
be’tuñ,shrink; contract; become smaller
be’xo,peel off; pare; flake
bi,give; offer
biba,(of a plural subject) to give together
bibi,to give on someone's behalf/for someone
bibo,to give along with others
bibu,gun
bibu’,gun syn.  mubu’
bicha,to give something to someone located upward
bide bide,to give over and over again
bidin paniin,paniin n
bidiñ,ritual hunting of monkey prior to Myoko festival
bigo,to miss someone while giving something
bigya,to give something wrongly
bihe,(Bot
bihii,(Bot
bihii-bikhe,to exchange
bii,to hold; to keep
biidan dara,dara n
biide lu,to grumble; to mutter
biidi,tactic; idea; trick; plan
biidi balo,to plan and act secretly; to plot
biije,many; in very large numbers
biiju-miiju,good manner
biiku-bifa,boastful; egoistical; vainglorious
biile,slimy; viscid; viscous; oozy
biilii,"loose, as of a tooth"
biilo,long ago; bygone; erstwhile
biilu-biila,to do something hurriedly
biilye,soft
biilye-biilye,softly
biilyin,n:time last evening; yesterday evening
biilyo,yesterday
biilyo ho,near; close to; next to
biinii,female
biiniin ajin,ajin n
biinya,soft; delicate
biinyan,n:time last year
biinyan-konyan,n:time past years
biipii,underside; lower side
biiro,yesterday morning; last morning
biisi si,to sing
biiso kacho,tabooed thing
biiso kapa,fearsome
biiya,"soft, as of any substance (as opposed to hard)"
biiyaja,softest
biiyaya,softer
biiyi,"(of small things like grains, etc"
biiyo,last night
bije,generic term for bamboo; bamboo species commonly cultivated by the Apatanis (Phyllostachys bambusoides)
bije arii,bundle of bamboo
bije arw,bundle of bamboo
bije biirañ,bamboo stump
bije biizi’,small sized bamboo
bije byapu,shoots of *bije bamboo
bije eha,ritual held in the bamboo grove area on the 30th day of *Myoko festival
bije ehanii,food offering deposited on an altar located in the vicinity of pine and bamboo groves 1) by clan male members towards the end of *Myoko festival
bije lembo,path leading to bamboo groves
bije lenda,(Agr
bije leñda,path leading to or inside the bamboo garden
bije more,bamboo groves and forests
bije nyanyi,(Bot
bije pata,half section of a bamboo stem which is cut longitudinally
bije sudu,bamboo container; bamboo smoking pipe
bije twgya,a flowering plant found in the bamboo gardens
bije zaazi,lichen around bamboo nodes
bije-binyi,small diameter bamboo of the cultivated variety
bije-siiko,poetic/literary form of the word *bije
bikha,to fail to give
biko-biko,(esp
biko-bipe,to give reciprocally; to exchange gifts
biku,"tilted, as of the upper portion of a tree or of any tall structure"
biku-bilya,boastful 
bikur,to give back
bilan abi,abi n
bilañ abíi,Red and white Apatani traditional skirt
bili,to pay or compensate for something lost
bilii,to give in
bilo,long ago; a long time ago; formerly
bilun page,page n
bilya,to give or let someone use something temporarily; to lend something
bilyo,to give in an improper way
bimpu,rod
bimpu ami,"variety of glass bead from Venice circa 19th century, black in colour with white dots, commonly known as ""Skunk beads"" "
bimur,to give by mistake or inadvertently
bimyo,to give in advance
bin,vt-r
biniibo,the one who gives; giver (specified)
biniin,[bini] n
bipa,to give something away
bipe,to give something to someone permanently
bipiñ,mat of animal skin
bipo-bilo,to flow over
bipu,to give by mistake or inadvertently; to give a wrong thing to someone
bipyo,easy to give
biran patu,patu n
birañ,stump (esp. of bamboo)
birañ patu’,bamboo stump (esp. with sharp edge)
biri,to start to give
birii,to exchange
biser abi,variety of black and white cotton skirt
bisi,to hand to another; to pass
bisvr abíi,Black and white Apatani traditional skirt
biti,craft; activity involving skills in cane and bamboo craft
biti yamo,artifact; handicraft
biyan tiigya,tiigya n
biyañ,girdle (esp. of female used to hold the skirt)
biyañ tw’gya,waist (esp. of female)
biñ,uproot (as of weed)
biñpa,rope of bamboo skin
biñpu,round; spherical; plump; rotund
bo,cross; traverse
boba,(of a plural subject) to go/come across together
bobi,to go/come across on someone else's behalf
bobo,to go/come across along with someone
bocha,to pull/drag something up by a rope
bodla,revenge
bodla la,to take revenge
bofo,thin (of a flat object)
bogii,to take someone along with oneself to go or come across
bogo,to move across first (overtaking or excluding others)
bogo ato,"group leader of a *bogo, whose first duty consists in construction and maintenance of a water supply system and regulation of the sharing of water among the group"
bogya,(Agr
boha,cane rope tied to a babó for acrobatic game; acrobatic game played on the rope
boha be,to somersault over the rope by holding it (i
bokha,to fail to go/come across
bokhe babro,(Zool
bokur,to go/come back (by crossing something on the way)
boli,to take something (by dragging it with a rope) as a revenge
bolyo,"thin, as of an object or a person"
bolyoja,thinnest
bolyoya,thinner
bompu,"to be surrounded by a large number of things, as a swarm of bees"
bonti,housemaid; domestic servant
bony remaining,of a head
bopyo,to move across ahead/in first position; to move across before anyone else does
borba tami,(Bot
borlan babro,babro n
borrow narbonii,one who helps in loans
borta,(Zool
borta’,a variety of snake; cobra var.  burta’; sala burta
bosta,jute bag; gunny bag
botoli,bottle
botu,"element of the *babo structure, describes the pole that secures tightly the rope (*boha) to the ground"
bo’go,"dam, for diverting water to irrigation channel"
bu,to keep
bu-,long cylindrical object; spherical object
buche,to burst
budu,murmur; mumble; mutter
budu-budu lu,to mumble; to mutter; to whisper
budu-bugya,household item
budu’,sulk; get offended
bufañ,traditional village council of the Apatanis
bufú,tadpole
bugu,(Agr
bui,rat excrements
buje,(Zool
buji-buji adu,(by fire) to crackle; to burn with crackling sounds
bukhe,(Zool
bukhe ripo,"variety of bead worn by females, commonly known as 'etched agate bead'"
buko,(Zool
bukofe’be,larva of water beetle
bukun,[´bu´kũ] num
buli,(Bot
buli une,(Med
bulii,to bring or get something in
bulin,[buli] n
bulun biile,biile [´bu´lum ´bile] adj
buluñ-bwle,"sickly, unappetizing"
bulya,to hold or keep briefly/for a moment/temporarily
bulyan milii,milii n
bulyu,(Zool
bulyun,adj
bum,bomb
bun,vsuff
bunchi,ninth lunar month of the year
bunchi piilo,tenth lunar month of the year (in case of division of the year into thirteen months)
bunchi-buntii piilo,September-October
bune,(of spherical and long objects/hands/spherical objects of fairly big size) how many
bunii,bursting thing/bursting one
buniin,[´bu:ni] n
buniin ajin,ajin n
bunnga,to crowd into; to throng
buntii piilo,tenth lunar month of the year
bunyo,(of spherical objects) small
bupa,to burst; to explode
bupur,to blast
buqa,crowd; gather; congregate; swarm
buro,(of spherical objects) big
burta’,a variety of snake; cobra
buru,younger brother
burù,younger brother
burúu,mythical crocodile-like creature said to have inhabited the Ziro valley in the olden days
busa,(of two or more long cylindrical or spherical objects)
busañ tabú,a variety of snake; Green Ratsnake (Senticolis triaspis)
busu’,get loose; loosen; slacken
bute,to burst
bute-buye mii,"to burst, both in a proper and in a figurative sense"
butii,community; society
butii more,"village forest, consisting of mixed vegetation"
buu,hold; keep; own
buudu-buugyá,household articles
buufú,tadpole
buukò,a variety of large jungle rat
buulì,variety of rats seen after bamboo flowring in large numbers
buupiñ,follow in birth order
buupiñ swnw,twin; siblings
buuro,thick or big cylinderical object
buutuñ,a person who remains bachelor
buutw,community; society
buuxe,a variety of house rat
buuzó,small cylinderical object
buuì,rat dropping
buuñtw,tenth month of the year; October
buye,(of long cylindrical object; spherical object of relatively big size; hand) one
buñ,crowd
buñci,ninth month of the year; September-October
bu’,multiply; proliferate; procreate
bu’,burst; explode
bu’li uune,a variety of ulcerative infective wound of the skin; ecthyma
bwdañ,precipice; cliff
bwdañ daara’,stiff cliff
bwdí,trick; tactic; strategy
bwdí ba’lo,conspiracy
bwfe’,soft; spongy; pliable
bwfiñ,yesterday evening
bwfo,yesterday
bwfo’,nearby; near
bwhiñ,a variety of tree
bwje,many; in large numbers; profuse; copious
bwjvr,market; bazaar
bwle’,slippery; oily; greasy; slimy
bwliñ kormo,a variety of fruit
bwlu-bwla’,hurriedly; suddenly
bwluñ-bwle,"sickly, unappetizing"
bwlw,loose (as of a tooth or a post)
bwnw,female; damsel; lady
bwpw’,under; beneath; below
bwpw’ tabú,a variety of poisonous snake (Pareas monticola)
bwra’,mellow (of taste)
bwriñ,python (Python molurus)
bwro,yesterday morning
bwsañ tabú,a variety of snake; Green Ratsnake (Senticolis triaspis)
bwsi,traditional ballad; song; lyrics
bwso,afraid; scared; terrified
bwso-kaco,forbidden; proscribed; prohibited
bww,give birth to
bww,hold; keep; own
bwya’,soft; spongy; pliable  [Ant.  alvr]
bwyo,yesterday night
bwyo,weedy; full of weed (of a field)
bwza-bwza,silky; delicate; soft
bwzañ,last year
bwzi’-bwza,silky; delicate; soft
bya,to be dubious; to hesitate
bya-,way
byaa,ruin; disintegrate
byaací,space between the front verandah and the main space in an Apatani house
byaago,front verandah of an Apatani house
byaakañ,space underneath the house
byaako,kind of edible berry
byaarañ,space between the front verandah and the main space in an Apatani house
byaazó,narrow (esp. of path)
byachi,"small, semi- enclosed area of the front veranda at the entrance of the house where the mortar (*yaper) and a some baskets are stored, and where husking is done"
byací,smart; quick; agile
byada,"going in the right direction, as of a road"
byago,"front side of the house, referring more specifically to the open porch or ""veranda"" located at the entrance of a traditional Apatani home"
byago alye,front door; sliding hanging door separating *byago from *byachi; threshold
byago siikha,*siikha altar constructed at the entrance of the house
byago simbya,platform of the front veranda
